Model,Threshold,Recall,Precision,AUC,AUC >= 0.70
voter,0.05,0.5,0.43859649122807015,0.5,NO
voter,0.1,0.5,0.43859649122807015,0.5,NO
voter,0.2,0.5,0.43859649122807015,0.5,NO
voter,0.3,0.5,0.43859649122807015,0.5,NO
voter,0.4,0.5,0.43859649122807015,0.5,NO
voter,0.5,0.5,0.43859649122807015,0.5,NO
voter,0.6,0.5,0.43859649122807015,0.5,NO
voter,0.7,0.5,0.43859649122807015,0.5,NO
voter,0.8,0.5,0.43859649122807015,0.5,NO
voter,0.9,0.5,0.43859649122807015,0.5,NO
deffuant_p,0.05,0.58,0.5714285714285714,0.5800000000000001,NO
deffuant_p,0.1,0.61,0.5760869565217391,0.61,NO
deffuant_p,0.2,0.66,0.5853658536585366,0.6599999999999999,NO
deffuant_p,0.3,0.5885714285714285,0.5455882352941176,0.5885714285714285,NO
deffuant_p,0.4,0.5271428571428571,0.5131578947368421,0.5271428571428571,NO
deffuant_p,0.5,0.5057142857142857,0.5025,0.5057142857142857,NO
deffuant_p,0.6,0.5357142857142857,0.5153940886699507,0.5357142857142857,NO
deffuant_p,0.7,0.4742857142857143,0.48888888888888893,0.4742857142857143,NO
deffuant_p,0.8,0.44285714285714284,0.474025974025974,0.44285714285714284,NO
deffuant_p,0.9,0.45285714285714285,0.4781746031746032,0.4528571428571428,NO
hk_0.50_p,0.05,0.5671428571428572,0.5300511508951407,0.5671428571428572,NO
hk_0.50_p,0.1,0.4542857142857143,0.480295566502463,0.4542857142857143,NO
hk_0.50_p,0.2,0.5042857142857142,0.5018939393939394,0.5042857142857143,NO
hk_0.50_p,0.3,0.5242857142857142,0.511038961038961,0.5242857142857142,NO
hk_0.50_p,0.4,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.5,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.6,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.7,0.5442857142857143,0.5209459459459459,0.5442857142857143,NO
hk_0.50_p,0.8,0.5442857142857143,0.5209459459459459,0.5442857142857143,NO
hk_0.50_p,0.9,0.5542857142857143,0.5263157894736842,0.5542857142857143,NO
hk_1.00_p,0.05,0.6,0.574468085106383,0.6,NO
hk_1.00_p,0.1,0.64,0.5813953488372093,0.64,NO
hk_1.00_p,0.2,0.69,0.5921052631578947,0.69,NO
hk_1.00_p,0.3,0.6185714285714285,0.556081081081081,0.6185714285714285,NO
hk_1.00_p,0.4,0.5671428571428572,0.5300511508951407,0.5671428571428572,NO
hk_1.00_p,0.5,0.5157142857142857,0.5068238213399503,0.5157142857142857,NO
hk_1.00_p,0.6,0.41285714285714287,0.461875,0.41285714285714287,NO
hk_1.00_p,0.7,0.4228571428571429,0.46590909090909094,0.4228571428571428,NO
hk_1.00_p,0.8,0.44285714285714284,0.474025974025974,0.44285714285714284,NO
hk_1.00_p,0.9,0.46285714285714286,0.48243243243243245,0.46285714285714286,NO
