Model,Threshold,Recall,Precision,AUC,AUC >= 0.70
voter,0.05,0.5,0.43859649122807015,0.5,NO
voter,0.1,0.5,0.43859649122807015,0.5,NO
voter,0.2,0.5,0.43859649122807015,0.5,NO
voter,0.3,0.5,0.43859649122807015,0.5,NO
voter,0.4,0.5,0.43859649122807015,0.5,NO
voter,0.5,0.5,0.43859649122807015,0.5,NO
voter,0.6,0.5,0.43859649122807015,0.5,NO
voter,0.7,0.5,0.43859649122807015,0.5,NO
voter,0.8,0.5,0.43859649122807015,0.5,NO
voter,0.9,0.5,0.43859649122807015,0.5,NO
deffuant_p,0.05,0.59,0.5729166666666666,0.5900000000000001,NO
deffuant_p,0.1,0.62,0.5777777777777777,0.62,NO
deffuant_p,0.2,0.65,0.5833333333333334,0.65,NO
deffuant_p,0.3,0.66,0.5853658536585366,0.6599999999999999,NO
deffuant_p,0.4,0.66,0.5853658536585366,0.6599999999999999,NO
deffuant_p,0.5,0.6285714285714286,0.5595238095238095,0.6285714285714286,NO
deffuant_p,0.6,0.42428571428571427,0.466875,0.4242857142857143,NO
deffuant_p,0.7,0.4342857142857143,0.47146401985111663,0.4342857142857143,NO
deffuant_p,0.8,0.4342857142857143,0.47146401985111663,0.4342857142857143,NO
deffuant_p,0.9,0.4842857142857143,0.49317617866004965,0.4842857142857143,NO
hk_0.50_p,0.05,0.6071428571428572,0.5462962962962963,0.6071428571428572,NO
hk_0.50_p,0.1,0.6171428571428572,0.5504926108374384,0.6171428571428572,NO
hk_0.50_p,0.2,0.4842857142857143,0.49317617866004965,0.4842857142857143,NO
hk_0.50_p,0.3,0.5242857142857142,0.511038961038961,0.5242857142857142,NO
hk_0.50_p,0.4,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.5,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.6,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.7,0.5442857142857143,0.5209459459459459,0.5442857142857143,NO
hk_0.50_p,0.8,0.5442857142857143,0.5209459459459459,0.5442857142857143,NO
hk_0.50_p,0.9,0.5542857142857143,0.5263157894736842,0.5542857142857143,NO
hk_1.00_p,0.05,0.59,0.5729166666666666,0.5900000000000001,NO
hk_1.00_p,0.1,0.62,0.5777777777777777,0.62,NO
hk_1.00_p,0.2,0.65,0.5833333333333334,0.65,NO
hk_1.00_p,0.3,0.66,0.5853658536585366,0.6599999999999999,NO
hk_1.00_p,0.4,0.5171428571428571,0.5085470085470085,0.5171428571428571,NO
hk_1.00_p,0.5,0.5471428571428572,0.5218253968253969,0.5471428571428572,NO
hk_1.00_p,0.6,0.42428571428571427,0.466875,0.4242857142857143,NO
hk_1.00_p,0.7,0.4342857142857143,0.47146401985111663,0.4342857142857143,NO
hk_1.00_p,0.8,0.4342857142857143,0.47146401985111663,0.4342857142857143,NO
hk_1.00_p,0.9,0.4642857142857143,0.4846059113300492,0.4642857142857143,NO
