Model,Threshold,Recall,Precision,AUC,AUC >= 0.70
voter,0.05,0.5,0.43859649122807015,0.5,NO
voter,0.1,0.5,0.43859649122807015,0.5,NO
voter,0.2,0.5,0.43859649122807015,0.5,NO
voter,0.3,0.5,0.43859649122807015,0.5,NO
voter,0.4,0.5,0.43859649122807015,0.5,NO
voter,0.5,0.5,0.43859649122807015,0.5,NO
voter,0.6,0.5,0.43859649122807015,0.5,NO
voter,0.7,0.5,0.43859649122807015,0.5,NO
voter,0.8,0.5,0.43859649122807015,0.5,NO
voter,0.9,0.5,0.43859649122807015,0.5,NO
deffuant_p,0.05,0.59,0.5729166666666666,0.5900000000000001,NO
deffuant_p,0.1,0.62,0.5777777777777777,0.62,NO
deffuant_p,0.2,0.65,0.5833333333333334,0.65,NO
deffuant_p,0.3,0.5885714285714285,0.5455882352941176,0.5885714285714285,NO
deffuant_p,0.4,0.5885714285714285,0.5455882352941176,0.5885714285714285,NO
deffuant_p,0.5,0.6285714285714286,0.5595238095238095,0.6285714285714286,NO
deffuant_p,0.6,0.49571428571428566,0.4981060606060606,0.4957142857142857,NO
deffuant_p,0.7,0.4542857142857143,0.480295566502463,0.4542857142857143,NO
deffuant_p,0.8,0.4842857142857143,0.49317617866004965,0.4842857142857143,NO
deffuant_p,0.9,0.5042857142857142,0.5018939393939394,0.5042857142857143,NO
hk_0.50_p,0.05,0.6071428571428572,0.5462962962962963,0.6071428571428572,NO
hk_0.50_p,0.1,0.6171428571428572,0.5504926108374384,0.6171428571428572,NO
hk_0.50_p,0.2,0.5042857142857142,0.5018939393939394,0.5042857142857143,NO
hk_0.50_p,0.3,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.4,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.5,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.6,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_0.50_p,0.7,0.5442857142857143,0.5209459459459459,0.5442857142857143,NO
hk_0.50_p,0.8,0.5442857142857143,0.5209459459459459,0.5442857142857143,NO
hk_0.50_p,0.9,0.5542857142857143,0.5263157894736842,0.5542857142857143,NO
hk_1.00_p,0.05,0.59,0.5729166666666666,0.5900000000000001,NO
hk_1.00_p,0.1,0.62,0.5777777777777777,0.62,NO
hk_1.00_p,0.2,0.5785714285714285,0.541920731707317,0.5785714285714286,NO
hk_1.00_p,0.3,0.5985714285714285,0.5491452991452992,0.5985714285714285,NO
hk_1.00_p,0.4,0.5471428571428572,0.5218253968253969,0.5471428571428572,NO
hk_1.00_p,0.5,0.5571428571428572,0.525974025974026,0.5571428571428572,NO
hk_1.00_p,0.6,0.4442857142857143,0.4759259259259259,0.4442857142857143,NO
hk_1.00_p,0.7,0.4642857142857143,0.4846059113300492,0.4642857142857143,NO
hk_1.00_p,0.8,0.4842857142857143,0.49317617866004965,0.4842857142857143,NO
hk_1.00_p,0.9,0.43285714285714283,0.46994884910485935,0.4328571428571429,NO
