Model,Threshold,Recall,Precision,AUC,AUC >= 0.70
voter,0.05,0.48,0.43636363636363634,0.48,NO
voter,0.1,0.48,0.43636363636363634,0.48,NO
voter,0.2,0.48,0.43636363636363634,0.48,NO
voter,0.3,0.48,0.43636363636363634,0.48,NO
voter,0.4,0.48,0.43636363636363634,0.48,NO
voter,0.5,0.48,0.43636363636363634,0.48,NO
voter,0.6,0.48,0.43636363636363634,0.48,NO
voter,0.7,0.48,0.43636363636363634,0.48,NO
voter,0.8,0.48,0.43636363636363634,0.48,NO
voter,0.9,0.48,0.43636363636363634,0.48,NO
deffuant_p,0.05,0.6799999999999999,0.5897435897435898,0.6799999999999999,NO
deffuant_p,0.1,0.6799999999999999,0.5897435897435898,0.6799999999999999,NO
deffuant_p,0.2,0.69,0.5921052631578947,0.69,NO
deffuant_p,0.3,0.69,0.5921052631578947,0.69,NO
deffuant_p,0.4,0.6285714285714286,0.5595238095238095,0.6285714285714286,NO
deffuant_p,0.5,0.6385714285714286,0.562987012987013,0.6385714285714286,NO
deffuant_p,0.6,0.6485714285714286,0.5664961636828645,0.6485714285714286,NO
deffuant_p,0.7,0.5357142857142857,0.5153940886699507,0.5357142857142857,NO
deffuant_p,0.8,0.4742857142857143,0.48888888888888893,0.4742857142857143,NO
deffuant_p,0.9,0.4842857142857143,0.49317617866004965,0.4842857142857143,NO
hk_0.50_p,0.05,0.5657142857142857,0.5285359801488834,0.5657142857142857,NO
hk_0.50_p,0.1,0.49428571428571433,0.4975,0.49428571428571433,NO
hk_0.50_p,0.2,0.49428571428571433,0.4975,0.49428571428571433,NO
hk_0.50_p,0.3,0.5042857142857142,0.5018939393939394,0.5042857142857143,NO
hk_0.50_p,0.4,0.5142857142857142,0.5063938618925831,0.5142857142857142,NO
hk_0.50_p,0.5,0.5142857142857142,0.5063938618925831,0.5142857142857142,NO
hk_0.50_p,0.6,0.5142857142857142,0.5063938618925831,0.5142857142857142,NO
hk_0.50_p,0.7,0.5242857142857142,0.511038961038961,0.5242857142857142,NO
hk_0.50_p,0.8,0.5242857142857142,0.511038961038961,0.5242857142857142,NO
hk_0.50_p,0.9,0.5242857142857142,0.511038961038961,0.5242857142857142,NO
hk_1.00_p,0.05,0.6785714285714286,0.5775434243176178,0.6785714285714286,NO
hk_1.00_p,0.1,0.6885714285714286,0.5814814814814815,0.6885714285714286,NO
hk_1.00_p,0.2,0.6985714285714286,0.5855911330049262,0.6985714285714286,NO
hk_1.00_p,0.3,0.6985714285714286,0.5855911330049262,0.6985714285714286,NO
hk_1.00_p,0.4,0.6471428571428571,0.5638957816377171,0.6471428571428572,NO
hk_1.00_p,0.5,0.5757142857142856,0.533125,0.5757142857142857,NO
hk_1.00_p,0.6,0.5757142857142856,0.533125,0.5757142857142857,NO
hk_1.00_p,0.7,0.5142857142857142,0.5063938618925831,0.5142857142857142,NO
hk_1.00_p,0.8,0.5242857142857142,0.511038961038961,0.5242857142857142,NO
hk_1.00_p,0.9,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
