Model,Threshold,Recall,Precision,AUC,AUC >= 0.70
voter,0.05,0.5,0.43859649122807015,0.5,NO
voter,0.1,0.5,0.43859649122807015,0.5,NO
voter,0.2,0.5,0.43859649122807015,0.5,NO
voter,0.3,0.5,0.43859649122807015,0.5,NO
voter,0.4,0.5,0.43859649122807015,0.5,NO
voter,0.5,0.5,0.43859649122807015,0.5,NO
voter,0.6,0.5,0.43859649122807015,0.5,NO
voter,0.7,0.5,0.43859649122807015,0.5,NO
voter,0.8,0.5,0.43859649122807015,0.5,NO
voter,0.9,0.5,0.43859649122807015,0.5,NO
deffuant_p,0.05,0.64,0.5813953488372093,0.64,NO
deffuant_p,0.1,0.71,0.5972222222222222,0.71,YES
deffuant_p,0.2,0.74,0.6060606060606061,0.74,YES
deffuant_p,0.3,0.6885714285714286,0.5814814814814815,0.6885714285714286,NO
deffuant_p,0.4,0.6171428571428572,0.5504926108374384,0.6171428571428572,NO
deffuant_p,0.5,0.6471428571428571,0.5638957816377171,0.6471428571428572,NO
deffuant_p,0.6,0.6571428571428571,0.56875,0.6571428571428573,NO
deffuant_p,0.7,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
deffuant_p,0.8,0.47285714285714286,0.4868421052631579,0.47285714285714275,NO
deffuant_p,0.9,0.4928571428571428,0.4963235294117647,0.49285714285714277,NO
hk_0.50_p,0.05,0.4757142857142857,0.488961038961039,0.47571428571428565,NO
hk_0.50_p,0.1,0.5757142857142856,0.533125,0.5757142857142857,NO
hk_0.50_p,0.2,0.5142857142857142,0.5063938618925831,0.5142857142857142,NO
hk_0.50_p,0.3,0.5442857142857143,0.5209459459459459,0.5442857142857143,NO
hk_0.50_p,0.4,0.5642857142857143,0.532051282051282,0.5642857142857143,NO
hk_0.50_p,0.5,0.5642857142857143,0.532051282051282,0.5642857142857143,NO
hk_0.50_p,0.6,0.5642857142857143,0.532051282051282,0.5642857142857143,NO
hk_0.50_p,0.7,0.5742857142857143,0.538235294117647,0.5742857142857143,NO
hk_0.50_p,0.8,0.5742857142857143,0.538235294117647,0.5742857142857143,NO
hk_0.50_p,0.9,0.5842857142857143,0.5449695121951219,0.5842857142857143,NO
hk_1.00_p,0.05,0.65,0.5833333333333334,0.65,NO
hk_1.00_p,0.1,0.72,0.6,0.72,YES
hk_1.00_p,0.2,0.75,0.609375,0.75,YES
hk_1.00_p,0.3,0.6985714285714286,0.5855911330049262,0.6985714285714286,NO
hk_1.00_p,0.4,0.6271428571428572,0.5548029556650246,0.6271428571428572,NO
hk_1.00_p,0.5,0.5557142857142857,0.5240740740740741,0.5557142857142857,NO
hk_1.00_p,0.6,0.5657142857142857,0.5285359801488834,0.5657142857142857,NO
hk_1.00_p,0.7,0.5242857142857142,0.511038961038961,0.5242857142857142,NO
hk_1.00_p,0.8,0.5342857142857143,0.5158730158730158,0.5342857142857144,NO
hk_1.00_p,0.9,0.5442857142857143,0.5209459459459459,0.5442857142857143,NO
