Order	Model	Interval	Threshold	Precision	Recall	Auc	Auc >= 0.70
random	voter	395	0.05	0.43636363636363634	0.48	0.48	NO
random	voter	395	0.1	0.43636363636363634	0.48	0.48	NO
random	voter	395	0.2	0.43636363636363634	0.48	0.48	NO
random	voter	395	0.3	0.43636363636363634	0.48	0.48	NO
random	voter	395	0.4	0.43636363636363634	0.48	0.48	NO
random	voter	395	0.5	0.43636363636363634	0.48	0.48	NO
random	voter	395	0.6	0.43636363636363634	0.48	0.48	NO
random	voter	395	0.7	0.43636363636363634	0.48	0.48	NO
random	voter	395	0.8	0.43636363636363634	0.48	0.48	NO
random	voter	395	0.9	0.43636363636363634	0.48	0.48	NO
random	deffuant_p	395	0.05	0.5897435897435898	0.6799999999999999	0.6799999999999999	NO
random	deffuant_p	395	0.1	0.5897435897435898	0.6799999999999999	0.6799999999999999	NO
random	deffuant_p	395	0.2	0.5921052631578947	0.69	0.69	NO
random	deffuant_p	395	0.3	0.5921052631578947	0.69	0.69	NO
random	deffuant_p	395	0.4	0.5595238095238095	0.6285714285714286	0.6285714285714286	NO
random	deffuant_p	395	0.5	0.562987012987013	0.6385714285714286	0.6385714285714286	NO
random	deffuant_p	395	0.6	0.5664961636828645	0.6485714285714286	0.6485714285714286	NO
random	deffuant_p	395	0.7	0.5153940886699507	0.5357142857142857	0.5357142857142857	NO
random	deffuant_p	395	0.8	0.48888888888888893	0.4742857142857143	0.4742857142857143	NO
random	deffuant_p	395	0.9	0.49317617866004965	0.4842857142857143	0.4842857142857143	NO
random	hk_0.50_p	395	0.05	0.5285359801488834	0.5657142857142857	0.5657142857142857	NO
random	hk_0.50_p	395	0.1	0.4975	0.49428571428571433	0.49428571428571433	NO
random	hk_0.50_p	395	0.2	0.5018939393939394	0.5042857142857142	0.5042857142857143	NO
random	hk_0.50_p	395	0.3	0.5063938618925831	0.5142857142857142	0.5142857142857142	NO
random	hk_0.50_p	395	0.4	0.511038961038961	0.5242857142857142	0.5242857142857142	NO
random	hk_0.50_p	395	0.5	0.511038961038961	0.5242857142857142	0.5242857142857142	NO
random	hk_0.50_p	395	0.6	0.511038961038961	0.5242857142857142	0.5242857142857142	NO
random	hk_0.50_p	395	0.7	0.5158730158730158	0.5342857142857143	0.5342857142857144	NO
random	hk_0.50_p	395	0.8	0.5158730158730158	0.5342857142857143	0.5342857142857144	NO
random	hk_0.50_p	395	0.9	0.5158730158730158	0.5342857142857143	0.5342857142857144	NO
random	hk_1.0_p	395	0.05	0.5775434243176178	0.6785714285714286	0.6785714285714286	NO
random	hk_1.0_p	395	0.1	0.5814814814814815	0.6885714285714286	0.6885714285714286	NO
random	hk_1.0_p	395	0.2	0.5855911330049262	0.6985714285714286	0.6985714285714286	NO
random	hk_1.0_p	395	0.3	0.5855911330049262	0.6985714285714286	0.6985714285714286	NO
random	hk_1.0_p	395	0.4	0.5638957816377171	0.6471428571428571	0.6471428571428572	NO
random	hk_1.0_p	395	0.5	0.533125	0.5757142857142856	0.5757142857142857	NO
random	hk_1.0_p	395	0.6	0.533125	0.5757142857142856	0.5757142857142857	NO
random	hk_1.0_p	395	0.7	0.5063938618925831	0.5142857142857142	0.5142857142857142	NO
random	hk_1.0_p	395	0.8	0.511038961038961	0.5242857142857142	0.5242857142857142	NO
random	hk_1.0_p	395	0.9	0.5158730158730158	0.5342857142857143	0.5342857142857144	NO
random	voter	100	0.05	0.43636363636363634	0.48	0.48	NO
random	voter	100	0.1	0.43636363636363634	0.48	0.48	NO
random	voter	100	0.2	0.43636363636363634	0.48	0.48	NO
random	voter	100	0.3	0.43636363636363634	0.48	0.48	NO
random	voter	100	0.4	0.43636363636363634	0.48	0.48	NO
random	voter	100	0.5	0.43636363636363634	0.48	0.48	NO
random	voter	100	0.6	0.43636363636363634	0.48	0.48	NO
random	voter	100	0.7	0.43636363636363634	0.48	0.48	NO
random	voter	100	0.8	0.43636363636363634	0.48	0.48	NO
random	voter	100	0.9	0.43636363636363634	0.48	0.48	NO
random	deffuant_p	100	0.05	0.6695804195804196	0.7771428571428571	0.7771428571428571	YES
random	deffuant_p	100	0.1	0.6695804195804196	0.7771428571428571	0.7771428571428571	YES
random	deffuant_p	100	0.2	0.6695804195804196	0.7771428571428571	0.7771428571428571	YES
random	deffuant_p	100	0.3	0.6695804195804196	0.7771428571428571	0.7771428571428571	YES
random	deffuant_p	100	0.4	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	deffuant_p	100	0.5	0.6680851063829787	0.7257142857142858	0.7257142857142856	YES
random	deffuant_p	100	0.6	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	deffuant_p	100	0.7	0.6466836734693877	0.6642857142857143	0.6642857142857144	NO
random	deffuant_p	100	0.8	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	deffuant_p	100	0.9	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_0.50_p	100	0.05	0.7107843137254901	0.6842857142857143	0.6842857142857143	NO
random	hk_0.50_p	100	0.1	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	hk_0.50_p	100	0.2	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	hk_0.50_p	100	0.3	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	100	0.4	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	100	0.5	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	100	0.6	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	100	0.7	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	100	0.8	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_0.50_p	100	0.9	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_1.0_p	100	0.05	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	hk_1.0_p	100	0.1	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	hk_1.0_p	100	0.2	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	hk_1.0_p	100	0.3	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	hk_1.0_p	100	0.4	0.7107843137254901	0.6842857142857143	0.6842857142857143	NO
random	hk_1.0_p	100	0.5	0.7107843137254901	0.6842857142857143	0.6842857142857143	NO
random	hk_1.0_p	100	0.6	0.7107843137254901	0.6842857142857143	0.6842857142857143	NO
random	hk_1.0_p	100	0.7	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	hk_1.0_p	100	0.8	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	hk_1.0_p	100	0.9	0.7028301886792453	0.6228571428571428	0.6228571428571428	NO
random	voter	150	0.05	0.43636363636363634	0.48	0.48	NO
random	voter	150	0.1	0.43636363636363634	0.48	0.48	NO
random	voter	150	0.2	0.43636363636363634	0.48	0.48	NO
random	voter	150	0.3	0.43636363636363634	0.48	0.48	NO
random	voter	150	0.4	0.43636363636363634	0.48	0.48	NO
random	voter	150	0.5	0.43636363636363634	0.48	0.48	NO
random	voter	150	0.6	0.43636363636363634	0.48	0.48	NO
random	voter	150	0.7	0.43636363636363634	0.48	0.48	NO
random	voter	150	0.8	0.43636363636363634	0.48	0.48	NO
random	voter	150	0.9	0.43636363636363634	0.48	0.48	NO
random	deffuant_p	150	0.05	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	150	0.1	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	150	0.2	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	150	0.3	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	150	0.4	0.6197552447552448	0.6957142857142857	0.6957142857142857	NO
random	deffuant_p	150	0.5	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
