user_id	initial_state	final_state
709690251422404608	aggressive	aggressive
723251650174017536	normal	aggressive
734516370600251393	normal	normal
723251262398054400	normal	aggressive
712736810661765120	normal	normal
735228732596707333	normal	normal
278315777	normal	normal
25377285	normal	normal
2359028480	normal	normal
704060092065423361	normal	normal
17687565	normal	normal
299220494	normal	normal
107794703	normal	normal
191463695	normal	normal
712948758	normal	normal
2723153944	normal	normal
455996058	normal	normal
200583835	normal	normal
3883218203	normal	normal
3148931612	normal	aggressive
480900509	normal	normal
3415552415	normal	normal
2772695072	normal	normal
27320992	normal	normal
19088288	normal	normal
36143907	normal	normal
3050052781	normal	normal
2355244596	normal	aggressive
2257115702	normal	aggressive
2964038584	normal	normal
270068926	aggressive	normal
2792749508	aggressive	normal
845649349	normal	normal
1550404806	normal	normal
2858665159	normal	normal
87475277	normal	normal
1428245454	normal	normal
2730345168	normal	normal
3273997009	normal	normal
1187127126	normal	normal
708309848	normal	normal
1833919200	normal	normal
1090999268	normal	aggressive
4606946533	normal	normal
361544166	normal	normal
16146535	normal	normal
612057704	normal	normal
39606118	normal	normal
1142469860	normal	normal
607039851	normal	normal
197838315	normal	normal
761452525	normal	normal
3265559538	normal	normal
275896693	normal	normal
23636341	normal	normal
2812745721	normal	normal
2723444222	normal	normal
